Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
assertive.base,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-7,NA,R (>= 3.0.0),"methods, utils",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.code,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-1,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.properties,
assertive.types, methods",NA,"testthat, devtools",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.data,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-1,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.strings",NA,"testthat, devtools",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.data.uk,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-1,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.strings",NA,"testthat, devtools",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.data.us,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-1,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.strings",NA,"testthat, devtools",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.datetimes,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-2,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.types",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.files,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-2,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.numbers",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.matrices,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-1,NA,R (>= 3.0.0),assertive.base (>= 0.0-2),NA,"testthat, devtools",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.models,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-1,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), stats",NA,"testthat, devtools",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.numbers,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-2,NA,R (>= 3.0.0),assertive.base (>= 0.0-2),NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.properties,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-4,NA,R (>= 3.0.0),"assertive.base (>= 0.0-7), methods",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.reflection,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-4,NA,R (>= 3.0.0),"assertive.base (>= 0.0-7), utils",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.sets,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-3,NA,R (>= 3.0.0),assertive.base (>= 0.0-7),NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.strings,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-3,NA,R (>= 3.0.0),"assertive.base (>= 0.0-2), assertive.types, stringi",NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertive.types,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0-3,NA,R (>= 3.0.0),"assertive.base (>= 0.0-7), assertive.properties, codetools,
methods, stats",NA,"testthat, data.table, dplyr, xml2",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
assertr,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.5,NA,NA,"dplyr (>= 0.7.0), MASS, lazyeval, stats, utils, rlang (>=
0.1.2)",NA,"knitr, testthat, magrittr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
assertthat,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2.0,NA,NA,tools,NA,testthat,NA,GPL-3,NA,NA,NA,NA,no,3.4.3
aws.polly,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.2,NA,NA,"httr, jsonlite, aws.signature (>= 0.2.6), tuneR",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
aws.signature,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3.5,NA,NA,"digest, base64enc",NA,"testthat, aws.ec2metadata (>= 0.1.2)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
backports,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.2,NA,R (>= 3.0.0),utils,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
base,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.4.3,base,NA,NA,NA,methods,NA,Part of R 3.4.3,NA,NA,NA,NA,NA,3.4.3
base64enc,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.4.1
BayesFactor,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.9.12-2,NA,"R (>= 3.0.2), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
bayesplot,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.4.0,NA,R (>= 3.1.0),"dplyr (>= 0.7.1), ggplot2 (>= 2.2.1), reshape2, stats, utils,
rlang",NA,"arm, gridExtra (>= 2.2.1), knitr (>= 1.16), loo (>= 1.1.0),
rmarkdown (>= 1.0.0), rstan (>= 2.14.1), rstanarm (>= 2.14.1),
rstantools (>= 1.2.0), scales, shinystan (>= 2.3.0), testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
BBmisc,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.11,NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.3
benchmarkme,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.6.0,NA,NA,"Matrix, compiler, httr, methods, benchmarkmeData(>= 0.5.0),
utils, graphics, parallel, doParallel, foreach",NA,"RcppZiggurat, testthat, DT, knitr, ggplot2, rmarkdown",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.3
benchmarkmeData,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.1,NA,NA,"graphics, utils,",NA,"testthat, DT, benchmarkme",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.3
BH,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.65.0-1,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,3.4.1
BiasedUrn,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.07,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.4.1
bindr,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
bindrcpp,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2,NA,NA,"Rcpp, bindr","Rcpp, plogr",testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.3
bit,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1-12,NA,R (>= 2.9.2),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
bit64,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.9-7,NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
bitops,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0-6,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
blme,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0-4,NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",NA,testthat (>= 0.9-0),NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.4
blob,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.0,NA,NA,tibble,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.4.3
bookdown,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.7,NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.16), rmarkdown (>= 1.5),
xfun, tinytex, yaml (>= 2.1.14)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.3), shiny, testit (>= 0.5), tufte, webshot",NA,GPL-3,NA,NA,NA,NA,no,3.4.4
boot,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3-20,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,3.4.3
brew,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0-6,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.4.1
bridgesampling,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4-0,NA,R (>= 3.0.0),"mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
brms,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.1.0,NA,"R (>= 3.2.0), Rcpp (>= 0.12.0), ggplot2 (>= 2.0.0), methods","rstan (>= 2.14.2), loo (>= 1.1.0), Matrix (>= 1.1.1), mgcv (>=
1.8-13), rstantools (>= 1.3.0), bayesplot (>= 1.3.0), shinystan
(>= 2.4.0), bridgesampling (>= 0.3-0), matrixStats, nleqslv,
nlme, coda, abind, stats, utils, parallel, grDevices,",NA,"testthat (>= 0.9.1), RWiener, future, mice, arm, spdep,
mnormt, MCMCglmm, ape, R.rsp, knitr, rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
Brobdingnag,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2-4,NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.4.1
broom,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.0,NA,R (>= 3.1),"backports, dplyr, methods, nlme, purrr, reshape2, stringr,
tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
ca,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.70,NA,R (>= 3.0.0),NA,NA,"rgl (>= 0.64-10), vcd",NA,GPL,NA,NA,NA,NA,no,3.4.3
callr,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.0.3,NA,NA,"assertthat, crayon, debugme, R6, utils",testthat,"covr, parallel, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.4
car,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.1-6,NA,R (>= 3.2.0),"MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg, grDevices,
utils, stats, graphics",NA,"alr4, boot, coxme, leaps, lme4, lmtest, Matrix, MatrixModels,
nlme, rgl (>= 0.93.960), sandwich, SparseM, survival, survey",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
carData,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.0-0,NA,R (>= 3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.1
caret,C:/Users/mmorris/Documents/R/R-3.4.3/library,6.0-78,NA,"R (>= 2.10), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.1.0), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.0.1),
withr (>= 2.0.0)",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam, ipred,
kernlab, klaR, MASS, ellipse, mda, mgcv, mlbench, MLmetrics,
nnet, party (>= 0.9-99992), pls, pROC, proxy, randomForest,
RANN, spls, subselect, pamr, superpc, Cubist, testthat (>=
0.9.1)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
caTools,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.17.1,NA,R (>= 2.2.0),bitops,NA,"MASS, rpart",NA,GPL-3,NA,NA,NA,NA,yes,3.4.3
catR,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.15,NA,R (>= 2.8.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.4
cattonum,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0.2,NA,R (>= 3.2.0),"dplyr (>= 0.7.0), stats, tidyselect (>= 0.2.3)",NA,"covr, knitr, nycflights13, ranger, rmarkdown, testthat,
tibble",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
cellranger,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
checkmate,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.8.5,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",NA,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.3
chron,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.3-52,NA,R (>= 2.12.0),"graphics, stats",NA,"scales, ggplot2",zoo,GPL-2,NA,NA,NA,NA,yes,3.4.3
class,C:/Users/mmorris/Documents/R/R-3.4.3/library,7.3-14,recommended,"R (>= 3.0.0), stats, utils",MASS,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.4.3
classInt,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1-24,NA,R (>= 2.2),"grDevices, stats, graphics, e1071, class",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
cli,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.0,NA,R (>= 2.10),"assertthat, crayon, methods",NA,"covr, mockery, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
clipr,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4.0,NA,NA,utils,NA,"rstudioapi (>= 0.5), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.4.3
clisymbols,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2.0,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
cluster,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.0.6,recommended,R (>= 3.0.1),"graphics, grDevices, stats, utils",NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
coda,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.19-1,NA,R (>= 2.14.0),lattice,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
codebook,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.8,NA,R (>= 3.0.1),"stats, methods, graphics, utils, rmarkdown, ggplot2, stringr,
psych, likert, knitr, rlang, dplyr, tidyr, pander, skimr, DT,
future, haven, readr, mice, tibble, purrr",NA,"testthat, lme4, roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
codetools,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2-15,recommended,R (>= 2.1),NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.4.3
coin,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2-2,NA,"R (>= 2.14.0), methods, survival","stats, modeltools (>= 0.2-9), mvtnorm (>= 1.0-5), multcomp",NA,"parallel, xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
colorspace,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3-2,NA,"R (>= 2.13.0), methods","graphics, grDevices",NA,"datasets, stats, utils, KernSmooth, MASS, kernlab, mvtnorm,
vcd, dichromat, tcltk, shiny, shinyjs",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.3
colourpicker,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0,NA,R (>= 3.1.0),"ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
commonmark,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.4,NA,NA,NA,NA,curl,NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.4
compiler,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.4.3,base,NA,NA,NA,NA,NA,Part of R 3.4.3,NA,NA,NA,NA,NA,3.4.3
conflicted,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.0,NA,R (>= 3.1),rlang,NA,"covr, crayon, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.4.4
corpcor,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.6.9,NA,R (>= 3.0.2),stats,NA,,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.1
cowplot,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.9.2,NA,"R (>= 3.3.0), ggplot2 (>= 2.1.0),","grid (>= 3.0.0), gtable (>= 0.1.2), plyr (>= 1.8.2),
grDevices, methods, scales, utils",NA,"covr, gridGraphics, knitr, magick, maps, dplyr, tidyr,
testthat, vdiffr, viridis",NA,GPL-2,NA,NA,NA,NA,no,3.4.3
cramer,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.9-1,NA,"R (>= 0.65), boot",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
crayon,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3.4,NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
crosstalk,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.0,NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
crul,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.0,NA,NA,"curl (>= 3.1), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), mime",NA,"testthat, fauxpas (>= 0.1.0), webmockr (>= 0.1.0), knitr,
jsonlite",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
csvy,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.3,NA,NA,"utils, yaml",NA,"data.table, readr, testthat, datasets",NA,GPL-2,NA,NA,NA,NA,no,3.4.3
curl,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.1,NA,R (>= 3.0.0),NA,NA,"testthat (>= 1.0.0), knitr, jsonlite, rmarkdown, magrittr,
httpuv, webutils",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.3
CVST,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2-1,NA,"kernlab,Matrix",NA,NA,NA,NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.4.3
d3Network,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.2.1,NA,R (>= 3.0.0),"plyr, rjson, whisker",NA,RCurl,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
daff,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3.0,NA,NA,"V8 (>= 0.6), jsonlite, utils",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
data.table,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.10.4-3,NA,R (>= 3.0.0),methods,NA,"bit64, knitr, nanotime, chron, ggplot2 (>= 0.9.0), plyr,
reshape, reshape2, testthat (>= 0.4), hexbin, fastmatch, nlme,
xts, gdata, GenomicRanges, caret, curl, zoo, plm, rmarkdown,
parallel",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.3
data.tree,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.7.5,NA,R (>= 3.0),"R6, stringr, methods, DiagrammeR",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, igraph, treemap, party, partykit,
doParallel, foreach, htmlwidgets",,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
datapasta,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.0.0,NA,R (>= 3.3.0),"readr (>= 1.0.0), clipr (>= 0.3.0), rstudioapi (>= 0.6)",NA,"tibble (>= 1.2), testthat, knitr, rmarkdown, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
datasets,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.4.3,base,NA,NA,NA,NA,NA,Part of R 3.4.3,NA,NA,NA,NA,NA,3.4.3
DBI,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.0,NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,LGPL (>= 2),NA,NA,NA,NA,no,3.4.4
dbplyr,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2.0,NA,R (>= 3.2),"assertthat (>= 0.2.0), DBI (>= 0.7), dplyr (>= 0.7.4), glue
(>= 1.2.0), methods, purrr (>= 0.2.4), R6 (>= 2.2.2), rlang (>=
0.1.6), tibble (>= 1.4.1), tidyselect (>= 0.2.2), utils",NA,"bit64, covr, knitr, Lahman (>= 5.0.0), nycflights13 (>=
0.2.2), rmarkdown, RMariaDB (>= 1.0.2), RMySQL (>= 0.10.11),
RPostgreSQL (>= 0.4.1), RSQLite (>= 2.0), testthat (>= 2.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
ddalpha,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3.1.1,NA,"stats, utils, graphics, grDevices, MASS, class, robustbase,
sfsmisc",Rcpp (>= 0.11.0),"BH, Rcpp",NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
debugme,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.0,NA,NA,"crayon, grDevices",NA,"covr, mockery, R6, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
default,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.0,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
DEoptimR,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0-8,NA,NA,stats,NA,NA,robustbase,GPL (>= 2),NA,NA,NA,NA,no,3.4.1
desc,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.1,NA,R (>= 3.1.0),"assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
DescTools,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.99.23,NA,"base, stats, R (>= 3.3.1)","graphics, grDevices, methods, MASS, utils, boot, manipulate,
mvtnorm, foreign, expm, Rcpp (>= 0.12.10)","Rcpp, BH","RDCOMClient, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
